"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"71","C44iX7","d8pIgX","GCST012879","GCST90277252","MR Egger",15,-0.0411950440347739,0.117526223374033,0.731564527271369,-0.271546441847879,0.189156353778331,0.959641939257408,0.762199884674956,1.20822984901716
"72","C44iX7","d8pIgX","GCST012879","GCST90277252","Weighted median",15,-0.0790666132288156,0.0744488848666154,0.288224114759209,-0.224986427567382,0.0668532011097506,0.923978373212251,0.798527056640499,1.0691385183061
"73","C44iX7","d8pIgX","GCST012879","GCST90277252","Inverse variance weighted",15,-0.0774317651876044,0.0521727735395698,0.137771452602102,-0.179690401325161,0.0248268709499525,0.925490172890471,0.835528849996873,1.02513762405695
"74","C44iX7","d8pIgX","GCST012879","GCST90277252","Simple mode",15,-0.131638221207681,0.130829770801363,0.3314040782111,-0.388064571978353,0.124788129562991,0.87665809402261,0.678368538251264,1.13290839784008
"75","C44iX7","d8pIgX","GCST012879","GCST90277252","Weighted mode",15,-0.0974031490732297,0.105555013045391,0.371756698337165,-0.304290974642197,0.109484676495738,0.907190199512751,0.737646198881909,1.11570297432488
"76","zUvvuF","0Lfo1A","GCST012879","GCST90277253","MR Egger",18,-0.0460549854724708,0.103268756117385,0.661593400490352,-0.248461747462546,0.156351776517604,0.954989450200906,0.779999697232103,1.16923744102896
"77","zUvvuF","0Lfo1A","GCST012879","GCST90277253","Weighted median",18,-0.0324853323464819,0.0589450385339325,0.581556733844033,-0.14801760787299,0.0830469431800259,0.968036648553329,0.862415929498203,1.08659281547317
"78","zUvvuF","0Lfo1A","GCST012879","GCST90277253","Inverse variance weighted",18,-0.0217682458335926,0.0407247050984563,0.592980517329906,-0.101588667826567,0.0580521761593817,0.978466972574099,0.903401073181176,1.05977028901129
"79","zUvvuF","0Lfo1A","GCST012879","GCST90277253","Simple mode",18,-0.0404049956855652,0.0880070207619198,0.65197036537894,-0.212898756378928,0.132088765007798,0.960400402359159,0.808237962012261,1.14120961425175
"80","zUvvuF","0Lfo1A","GCST012879","GCST90277253","Weighted mode",18,-0.0351152841298904,0.0612328630717312,0.573834583496675,-0.155131695750484,0.0849011274907028,0.965494103693745,0.856302398670498,1.08860942783145
"81","pUtC32","eTUAa0","GCST012879","GCST90277254","MR Egger",14,0.0999683279520709,0.147057360913816,0.509538204291683,-0.188264099439009,0.388200755343151,1.10513591560366,0.828395899448124,1.47432573334899
"82","pUtC32","eTUAa0","GCST012879","GCST90277254","Weighted median",14,-0.0221122645597526,0.0611219111688736,0.717521579941522,-0.141911210450745,0.0976866813312396,0.978130419506202,0.867698295606285,1.10261726040948
"83","pUtC32","eTUAa0","GCST012879","GCST90277254","Inverse variance weighted",14,-0.0145072559787953,0.0503888514538271,0.773418643640982,-0.113269404828297,0.0842548928707059,0.985597467232114,0.892910073424847,1.08790615799466
"84","pUtC32","eTUAa0","GCST012879","GCST90277254","Simple mode",14,0.0531694079792521,0.094452612003799,0.583066866116059,-0.131957711548194,0.238296527506698,1.05460828904623,0.876378054966906,1.26908545578199
"85","pUtC32","eTUAa0","GCST012879","GCST90277254","Weighted mode",14,-0.0258116521595239,0.0691161866639118,0.714830474380839,-0.161279378020791,0.109656073701743,0.974518620802087,0.851054272032674,1.11589421908635
"86","e6wxaN","jvBUeO","GCST012879","GCST90277255","MR Egger",14,-0.0596175048368105,0.126757117821505,0.646553264822909,-0.308061455766961,0.18882644609334,0.942124822863269,0.734870154612339,1.20783131044882
"87","e6wxaN","jvBUeO","GCST012879","GCST90277255","Weighted median",14,-0.0485702298931195,0.0674058233351374,0.471177625347195,-0.180685643629989,0.0835451838437498,0.952590436632027,0.834697709999899,1.08713433509109
"88","e6wxaN","jvBUeO","GCST012879","GCST90277255","Inverse variance weighted",14,-0.034521845393626,0.0545531903631606,0.526857234846614,-0.141446098505421,0.0724024077181688,0.966067235336951,0.868101966317267,1.07508788069084
"89","e6wxaN","jvBUeO","GCST012879","GCST90277255","Simple mode",14,-0.110569745080521,0.108895867146072,0.328454579611589,-0.324005644686822,0.10286615452578,0.895323883575487,0.723246159870252,1.10834305244634
"90","e6wxaN","jvBUeO","GCST012879","GCST90277255","Weighted mode",14,-0.0569070796089179,0.0750631674617375,0.46190075246051,-0.204030887833923,0.0902167286160875,0.944681845494896,0.815437183709996,1.09441144828272
"91","o5dHP6","jvBUeO","GCST012879","GCST90277256","MR Egger",23,0.018805993340876,0.108131307917241,0.863595455333184,-0.193131370176917,0.230743356858669,1.01898393976976,0.824373668910495,1.25953594670359
"92","o5dHP6","jvBUeO","GCST012879","GCST90277256","Weighted median",23,-0.0211939869185756,0.0556854651228002,0.703498763316419,-0.130337498559264,0.0879495247221128,0.979029027323178,0.877799124981956,1.09193300501532
"93","o5dHP6","jvBUeO","GCST012879","GCST90277256","Inverse variance weighted",23,0.00589946204978278,0.0414251659713644,0.886754177990933,-0.0752938632540914,0.087092787353657,1.00591689814702,0.927470896662703,1.09099790583048
"94","o5dHP6","jvBUeO","GCST012879","GCST90277256","Simple mode",23,0.017578954440475,0.0974406463040966,0.8584847448599,-0.173404712315554,0.208562621196504,1.01773437362669,0.840797264969358,1.23190607107774
"95","o5dHP6","jvBUeO","GCST012879","GCST90277256","Weighted mode",23,-0.0130832291221846,0.0558444191967407,0.816934188117082,-0.122538290747796,0.0963718325034271,0.987001984292921,0.884672029541365,1.101168438097
"96","umulca","fvqlRI","GCST012879","GCST90277257","MR Egger",18,0.0390925273905403,0.149274747333677,0.796753158478093,-0.253485977383468,0.331671032164548,1.03986669535081,0.776090627670101,1.39329442406237
